zincid,smiles,consensus_score,docking_score,boltz_prob,is_active
ZINC000644961652,C=C[C@@H]1OCC[C@H]1NC(=O)N[C@@H]1CCOC1,0.51601774,-6.752,0.43612945,0
ZINC000646042209,CO[C@@H]1COC[C@H]1NCc1ccno1,0.38168257,-5.598,0.28999686,0
ZINC000667872301,CCn1cc(CN[C@H]2CO[C@H](C3CC3)C2)cn1,0.54780173,-6.861,0.48775876,0
ZINC000685849958,C[C@@H]1C[C@H]1CN1CC(C)(C)[C@H]1C1CC1,0.4182685,-6.818,0.23563552,0
ZINC000763019522,C[C@@H]1CC(=O)CC[C@@H]1C(=O)OCCC(N)=O,0.35229865,-7.192,0.06607313,0
ZINC000815577481,Cc1cc(F)ccc1[C@H](C)NCc1cc[nH]n1,0.64833736,-7.868,0.58221996,0
ZINC000816705878,CCOC(=O)NCC(=O)N1Cc2c[nH]nc2C1,0.33664882,-6.769,0.07904851,0
ZINC000843583213,O=C(NC[C@H]1CCC=CO1)C1(C(F)F)CC1,0.39858514,-7.629,0.112330675,0
ZINC000934451547,Cn1cnc(/C=C/C(=O)NC[C@]2(C)CCCO2)c1,0.6323342,-7.573,0.58118814,0
ZINC001252080662,CCCC[C@@H](O)CNc1c(F)cnc(F)c1F,0.527313,-7.474,0.38344315,0
ZINC001595273454,O=C(O)c1nc(-c2cn(CCF)nn2)cs1,0.43538466,-6.781,0.27338773,0
ZINC000036892008,C[C@H](NCCC(=O)O)c1ccccc1O,0.45835757,-7.062,0.28968138,0
ZINC000087393139,Cc1nc(CN(C)[C@H](C)C(=O)O)sc1C,0.47454587,-6.139,0.41770667,0
ZINC000095296184,CNC(=O)CCNc1nccnc1-c1nnn[nH]1,0.41805592,-6.789,0.23822936,0
ZINC000097496399,C=CCOC(=O)[C@H]1CCC[C@@H](C(F)(F)F)C1,0.40378767,-7.504,0.13563175,0
ZINC000308392832,CC[C@H](C)NCCCn1cncn1,0.5616906,-5.774,0.628279,0
ZINC000323675385,CC[C@@H](NCc1c(Cl)c(C)nn1C)C1CC1,0.61243415,-6.804,0.62171555,0
ZINC000334286332,N#Cc1cccc(C#N)c1N[C@@H]1CC[C@@H](F)C1,0.6518366,-8.173,0.55744296,0
